sulta,kyn,nafn
undir,kk,andrisveins
yfir,kk,kiddi_s
undir,kk,heidar_heidars
yfir,kvk,brynhilduryrsa
yfir,kk,stebbipett
yfir,kk,geirfinns
undir,kvk,barabirta
yfir,kk,gustichef
yfir,kvk,valawaldorf
yfir,kvk,hrefnahelga
yfir,kvk,grildur
yfir,kk,olafurorn
yfir,kvk,steinamusic
yfir,kk,karigauta
yfir,kk,sindrigeir
yfir,óvisst,nsgs34522754
yfir,kk,arihro
yfir,kvk,h_bjornsdottir
undir,kk,kristinn_v
yfir,kk,jollinn83
undir,kk,karlfinnbogi
yfir,kvk,nannagudmunds
yfir,kk,grisgrimur
undir,kvk,icekandis
yfir,kvk,hildigunnur
yfir,kk,e18n
yfir,kk,bjorgvin66
undir,kk,erlendur
yfir,kvk,urdathors
yfir,kk,birgiromar
yfir,kvk,gunnhilduraegis
undir,kk,einarsson_egill
undir,kvk,guggabreezy
undir,kk,gardarstnikulas
yfir,kk,agust_ivar
undir,kvk,ingamagnea
undir,kk,valtyrorn
yfir,kvk,svalalala
undir,kvk,larrybird1312
undir,kvk,laufeyebba
yfir,kvk,sigrunskafta
yfir,kk,kariarnar
yfir,kvk,eydissigrun
undir,kvk,heiddalfjola
yfir,kvk,eddaros
yfir,kk,bjrgvingunnarss
yfir,kvk,smafotur
undir,kk,geimdraugur
yfir,kk,gunnigud
yfir,kvk,evabjork7
